user_prompt,output,유형,극성,시제,확실성
중국이 어물쩍 넘어간다고 우리도 ＇좋은 게 좋다＇는 식으로 넘어갈 문제는 더더욱 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
감이나 배와 게를 함께 먹지 말아야 한다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"규제로 묶어놓았던 온오프라인의 경계는 일시적으로 사라졌으며, 코로나19가 불러온 나비효과가 어디까지 갈지 예측하기조차 어렵다.","추론형,부정,현재,확실",추론형,부정,현재,확실
"순수했기에 어리석었고, 가장 가까운 타인에게 상처를 주는 결정을 내렸으면서도 그 결정이 충동적이었던 탓에 스스로 책임지지 못하는 아사코는 지켜보는 입장에선 ＇민폐＇ 캐릭터지만 우리에겐 누구나 아사코 같은 면이 있기에 마냥 비난할 수만은 없다.","추론형,부정,현재,확실",추론형,부정,현재,확실
평상시처럼 활발하게 활동할 수는 없지만 과도한 소비 위축은 경제에 악영향을 미친다는 점에서 바람직하지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
물론 계약의 해석이라는 게 어느 경우에나 당사자가 서면에 사용한 문구만을 그대로 따라야 하는 것은 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 국제수학·과학올림피아드 입상자는 혜택은커녕 이를 대학 입시 자기소개서에도 쓸 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
예나 지금이나 술김에 사건 사고가 일어나는 것은 다르지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
북한 측 발표를 그대로 믿을 순 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
보편적 복지를 내세운 현금 살포로 풀릴 일도 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
예컨대 마스크 품귀에 정확한 정보와 믿을 만한 수급 대책으로 불안을 잠재우지 못하고 업자들에게 으름장만 놓는 수준이어서는 안 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
지난 2019년 5월 칸국제영화제서부터 봉 감독의 통역을 도맡아 해온 최성재(샤론 최)씨도 빼놓을 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 이런 분위기만으로 유령이 사라질 것이라는 설익은 기대는 금물이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
한다 빅오픈에서 우승하지는 못했지만 준우승을 차지하며 샷 감각을 끌어올린 터라 갑자기 찾아온 한 달간 공백이 달갑지만은 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
패스트푸드는 대표적인 박리다매 업종이다 보니 인건비를 더 주고 직원을 충원하기가 구조적으로 쉽지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"비타민 B군이 부족하면 혈액 속의 포도당을 세포 안으로 들여보낼 수 없고, 설령 들어가더라도 에너지로 바뀌지 않기 때문이다.","추론형,부정,현재,확실",추론형,부정,현재,확실
소상공인이 돈을 잘 벌기란 참으로 힘들다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
모바일페이는 은행계좌에 연결된 특성상 중국은행망을 거치지 않는 해외결제에서 여전히 어려움이 있다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"다만 인플루엔자와 같은 다른 호흡기 바이러스 감염이 태아 저체중·조산을 초래할 수 있다는 점을 감안하면 임산부가 코로나19 확진자일 경우, 신생아에 미치는 위험을 간과할 수는 없다.","추론형,부정,현재,확실",추론형,부정,현재,확실
이를 뒤집기 위해 아무리 노력해봐도 자신이 서명한 문서에 기재된 명백한 문구를 뒤집는 일은 쉽지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
국회가 일 안 하는 것이야 새삼스럽지도 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
지금껏 해온 것과 같은 기계적이고 단선적인 사고로는 어림없는 일이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
겨울철이 되면 중국에서 석탄난방 등 연료 사용이 증가하면서 편서풍을 타고 미세먼지 농도가 높아지는 영향도 배제할 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
취약점을 보완하기 위해 무작정 강력한 보안장치를 도입할 수도 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
지난해 하반기 누구보다 뜨거운 샷을 날렸던 김세영도 여유롭지 못하다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
코로나19가 경제에 주는 충격을 현재 단계에서는 섣불리 가늠하기 어려울 것 같다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"그러나 이 씨앗들은 이미 수천 년 전부터 사용되어 왔으며 아직까지 아미그달린이 들어있는 살구, 매실, 자두, 사과, 복숭아씨를 먹고 사람이 죽었다는 기록은 동서고금 어디에서도 그 예를 찾아볼 수가 없다.","추론형,부정,현재,확실",추론형,부정,현재,확실
다만 상황이 좋지 못하다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
그렇다 해도 배달 앱의 서비스 혁신을 막아서는 안 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
이들에게 반대세력은 철저히 궤멸해야 할 적일 뿐 타협은 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
그런데도 이들이 지원을 못 받는 것은 곳간에 돈이 없어서가 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
이 소설에서 ＇눈길＇을 빼면 아무것도 남지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 ＇양승태 대법원＇을 박근혜 정권과 결탁한 ＇사법농단세력＇이라고 앞장서 비판했던 판사들이 경쟁하듯 정치권력으로 옮겨탄 것은 사법개혁으로 쌓은 자신들의 명성을 정계 진출에 이용한 것이라는 지적을 피하기 어렵다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
라일락 이야기를 하면서 미스김라일락을 빼 놓을 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
일찌감치 미국 라스베이거스에 동계훈련 캠프를 차리고 훈련에 돌입한 그는 시간이 넉넉지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
이들 인사가 왜 민주당을 택했는지 감이 잘 안 온다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
＂영웅이 되어 돌아가기 위해서 온 것도 아니다.＂,"추론형,부정,현재,확실",추론형,부정,현재,확실
중요한 사실은 약으로 고갈된 체내 영양소가 합성영양제 한두 가지 먹는다고  해결 될 수 없다는 것이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
수많은 업체가 비대면 본인인증 시장에 뛰어들고 있지만 한 플랫폼이 수십 가지의 인증방식을 지원하는 것은 현실적으로 매우 어렵다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 문재인정부에서 산업정책은 잘 보이지 않고 노동정책을 우선시한다는 인상을 지우기 힘들다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
반면 위기의 진원지인 중국이 전략적 공간을 갖게 된 것은 아이러니가 아닐 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
솔레이마니를 죽이기 바로 직전 마크 에스퍼 미 국방장관이 북한에 ＂오늘 밤이라도 싸울 준비가 돼 있다＂고 한 말은 빈말이 아닌 것이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
영국의 거장 켄 로치 감독은 언제나 노동자의 편에서 시스템의 문제를 지적하는 영화를 만들어왔고 83세 백발의 할아버지가 된 지금도 예의 날카로운 시선은 조금도 낡지 않았다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"구강청결제는 세균 소독이 목적이며, 치아 사이에 낀 음식물 찌꺼기나 플라크는 제거할 수 없기 때문이다.","추론형,부정,현재,확실",추론형,부정,현재,확실
그렇지만 구도심 정비사업은 말처럼 금세 진행되는 것이 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
이런 과제들이 새로운 것이 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"배우들의 동선, 대사, 연기를 세밀하게 조율한 섬세한 연출과 라이브 밴드의 신나는 음악은 145분이라는 공연 시간이 믿기지 않을 정도이다.","추론형,부정,현재,확실",추론형,부정,현재,확실
여름은 ＇눈부신 계절＇이다. 하지만 여름철 눈부심을 가볍게만 봐서는 안 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
오늘 타기 좋다고 내일도 좋은 것은 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
제주도에 중국인 관광객은 ＇밥줄＇이나 다름없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"둘째, 인플레이션에 식자재 가격이 급등하는 가운데 가격 인상이 쉽지 않다.","추론형,부정,현재,확실",추론형,부정,현재,확실
전라도에는 땅의 신령스러운 기운을 타고난 인걸이 적지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 탄탄대로인 것만은 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
이는 지구 두 바퀴 반에 해당하는 실로 엄청난 길이가 아닐 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
장자의 철학은 하도 넓어서 아무리 해석되어도 끝을 보이지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
필자는 이 같은 주장에 동의하지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
아쉽지만 남이섬의 시그니처 감성을 이끌었던 ＇겨울연가＇의 설렘과 감동을 찾기가 쉽지 않다는 것이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"알음알음 주변을 통한 비즈니스는 한계가 있고, 유사한 점포와 차별화하는 것도 생각보다 쉽지 않다.","추론형,부정,현재,확실",추론형,부정,현재,확실
"폐업하는 데도 돈을 들여야 하고, 빚밖에 남지 않았다는 소상공인들의 한숨 소리는 전혀 낯선 게 아니다.","추론형,부정,현재,확실",추론형,부정,현재,확실
강국만의 얘기가 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
세계 랭킹이 최근 급상승해 5위까지 올랐지만 호시탐탐 순위 역전을 노리는 경쟁자가 많아 경계를 늦출 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
복잡계의 변화는 예측과 통제가 극히 어렵다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
말 그대로 ＇예상＇ 지표여서 100% 신뢰할 건 못 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
감히 말로 할 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
오늘날 절대적인 안전은 어디에도 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
투자가 집중되고 시장의 관심을 끌어모으는 아이디어를 내면 된다고 하지만 대부분 뉴스 속 얘기일 뿐 그런 사례가 내 사례라고 자신 있게 말할 수 있는 소상공인은 많지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
＂후세가 나를 알아주길 바라는 것이 아니다.＂,"추론형,부정,현재,확실",추론형,부정,현재,확실
"규모의 경제로 매출을 늘릴 수 있는 것도 아니고, 경쟁력 있는 재화와 용역이 어필될 만큼 마케팅하기도 어렵다.","추론형,부정,현재,확실",추론형,부정,현재,확실
준우승은 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 ＇금메달＇을 목표로 한 만큼 편안하게 훈련할 생각은 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
＇조선의 자기＇ 하면 달항아리로 대표되는 백자를 주로 떠올리지만 기교적 측면에서 고려청자에 비교할 바가 못 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
＂새로운 걸 보여줘야 한다는 말은 아니다.＂,"추론형,부정,현재,확실",추론형,부정,현재,확실
하이브 아티스트들의 실적 강세에도 하이브엔터테인먼트의 상황은 좋지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
점막과 혈관 내벽이 회복되지 않으면 건선뿐 아니라 피부에 나타나는 다른 질환도 근본적으로 치료될 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"약을 못 먹는다고 병(病)을 방치해도 안 되지만, 약을 장기적으로 복용해도 안된다.","추론형,부정,현재,확실",추론형,부정,현재,확실
"세계 1, 2위인 고진영(24)과 박성현(26)을 따라잡기에는 너무 멀리 있고, 세계 5위 김세영(26)과 세계 7위 이정은(23)을 넘는 것도 결코 만만치 않다.","추론형,부정,현재,확실",추론형,부정,현재,확실
"울산바위의 정상이라는 게 보통의 산 정상석에 있는, 그야말로 산의 꼭짓점을 뜻하는 것은 아니다.","추론형,부정,현재,확실",추론형,부정,현재,확실
＂지금 상황에서는 (농협금융지주 회장 자리에) 제갈공명이 와도 안 된다.＂,"추론형,부정,현재,확실",추론형,부정,현재,확실
객석도 독감 안전지대는 아니다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
서서히 진행되긴 하지만 악화되면 시력을 잃거나 다리를 절단하거나 혈액 투석을 받는 상황에 이르게 되므로 절대 방심해서는 안 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
조선의 여러 기술 중 의술을 가장 믿을 수 없다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
올해도 사정은 별반 다르지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
하지만 지금 상황은 녹록지 않다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
＇신당(新黨)＇이라면 문자 그대로 뭔가 새로워야 하는데 그런 게 보이지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
대형마트에 갔던 게 언제였던가 기억을 되짚어봐도 잘 생각이 나지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
우선 라식·라섹을 할 땐 각막 표면을 일부 깎는데 이로 인해 감각신경이 손상되면서 눈물이 충분히 나오지 않게 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
담배는 중국에 들어온 지 얼마 되지도 않았지만 널리 퍼졌으니 참 알 수 없는 일이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
자료가 많지 않아 일반화하기 어렵다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
배달 앱은 ＇플랫폼을 통한 배달＇이라는 신개념을 바탕으로 새로운 시장과 다양한 혁신을 창출하고 있는데 이런 측면을 무시해서는 안 된다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
스스로 원칙과 기준을 어기지 않는 것이다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
"이런 식이라면 추경을 12조원이 아닌, 120조원을 써도 소용이 없다.","추론형,부정,현재,확실",추론형,부정,현재,확실
어느 정당도 ＇빽＇ 없는 서점 주인이나 치킨집 사장을 인재로 영입하지 않는다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
수익을 내기도 어렵다.,"추론형,부정,현재,확실",추론형,부정,현재,확실
